N,q,split,comparator,component,unit,med,p95,mean,bias,qop_max_abs_change,qop_passthrough_max_abs_change
128,1,val,vs_rk6_endpoint,y,um,289.9237982527012,3507.2678512008415,889.5897587504523,-67.08243396939376,0.0,0.0
128,1,val,vs_rk6_endpoint,tx,mrad,1.24716260543533,5.496512248226136,1.7803565030673938,-0.0987323257272685,0.0,0.0
128,1,val,vs_rk6_endpoint,ty,mrad,0.11554570290894794,1.3190289479510633,0.30394145447735116,-0.015002868783357524,0.0,0.0
128,1,val,vs_real_scifi_state,x,um,3599.2337617710746,17933.51320907014,6052.496719000376,-160.39688178020813,0.0,0.0
128,1,val,vs_real_scifi_state,y,um,923.1810593011005,7405.431944313318,2389.248165600566,-133.5741432516173,0.0,0.0
128,1,val,vs_real_scifi_state,tx,mrad,1.4040030497802363,7.829075468148176,2.4524116491478516,-0.10964980067112384,0.0,0.0
128,1,val,vs_real_scifi_state,ty,mrad,0.2922165050720966,2.227760904966116,0.6853840476191042,0.010673007130773871,0.0,0.0
128,1,val,straight_line_vs_rk6_endpoint,x,um,452941.9385569637,1271615.6766418347,550215.9132434177,41618.78322767855,0.0,0.0
128,1,val,straight_line_vs_rk6_endpoint,y,um,939.8698722209815,26843.640905457592,5421.254429651422,-244.2714338410775,0.0,0.0
128,1,val,straight_line_vs_rk6_endpoint,tx,mrad,171.65128524149225,507.04651578564443,212.97744119602592,16.152241795459236,0.0,0.0
128,1,val,straight_line_vs_rk6_endpoint,ty,mrad,0.31992626243849964,14.429391014288012,2.497643817836807,0.038032989776136804,0.0,0.0
128,1,val,rk6_truth_vs_real_scifi_state,x,um,1372.6751053558246,12368.517364561547,3696.747692734388,-47.58627783002851,0.0,0.0
128,1,val,rk6_truth_vs_real_scifi_state,y,um,767.5951085464021,5835.671284375892,1918.4556712124586,-66.28849554554735,0.0,0.0
128,1,val,rk6_truth_vs_real_scifi_state,tx,mrad,0.3944228909283365,4.877535585362279,1.2899261902975303,-0.010919015564202064,0.0,0.0
128,1,val,rk6_truth_vs_real_scifi_state,ty,mrad,0.2241700032497712,1.5462122120480999,0.5447264670301872,0.025675432691703217,0.0,0.0
128,1,test,vs_rk6_endpoint,x,um,2609.5724061989217,11555.974666061225,3636.7783525280756,-37.510446512926315,0.0,0.0
128,1,test,vs_rk6_endpoint,y,um,263.85145040550384,3173.1402481415007,815.6341661224591,10.172154462962206,0.0,0.0
128,1,test,vs_rk6_endpoint,tx,mrad,1.2439954262360926,5.397876461476761,1.7565064387836427,-0.032628237659961805,0.0,0.0
128,1,test,vs_rk6_endpoint,ty,mrad,0.10402948640173218,1.0752894313271928,0.27875588310536803,0.018305870901289666,0.0,0.0
128,1,test,vs_real_scifi_state,x,um,3455.8633384477275,16993.118805969378,5511.242772307124,-76.39598239296465,0.0,0.0
128,1,test,vs_real_scifi_state,y,um,941.7011708680648,6278.4423686153905,1802.2102772576404,103.65494145711037,0.0,0.0
128,1,test,vs_real_scifi_state,tx,mrad,1.3765943383101455,7.166368229208484,2.3076847259804563,-0.041349528242735786,0.0,0.0
