network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
w200_data_s1,data,1,200,4,True,val,0,4551,171.41663421654042,2351.4282263231935,0.08688013919289778,55.0
w200_data_s1,data,1,200,4,True,val,1,4551,544.2855076039236,7780.763447335289,0.29158899030490293,373.71799999999996
w200_data_s1,data,1,200,4,True,val,2,4551,947.1620227444007,18224.50210222564,0.469734920781395,821.8929999999991
w200_data_s1,data,1,200,4,True,val,3,4551,1576.8000884418284,30911.465860493423,0.7580624750024717,2099.987
w200_data_s1,data,1,200,4,True,val,4,2932,3081.779992870395,73693.43849882246,1.342996038648174,6281.1775
w200_data_s1,data,1,200,4,True,val,5,1524,6286.688488385891,148263.68482353498,2.093839031421813,7759.312
w200_data_s1,data,1,200,4,True,val,6,856,6744.672643413785,165706.23828045666,2.1085424910235604,8181.928
w200_data_s1,data,1,200,4,True,test,0,4563,166.29171107059904,2231.06905568129,0.08381881266024405,69.21399999999994
w200_data_s1,data,1,200,4,True,test,1,4563,541.1811132523354,8064.203111862087,0.26788960589214234,335.087
w200_data_s1,data,1,200,4,True,test,2,4563,939.1331115203476,20077.505757728384,0.4296524447904987,752.393
w200_data_s1,data,1,200,4,True,test,3,4563,1509.5978009622115,29871.89553376484,0.7119786351100221,1994.9869999999999
w200_data_s1,data,1,200,4,True,test,4,2914,2879.7149858504317,67253.68252212222,1.2128838885119564,6269.4015
w200_data_s1,data,1,200,4,True,test,5,1481,5695.225359981691,207009.80877632447,2.023221106611326,7783.540000000001
w200_data_s1,data,1,200,4,True,test,6,853,6476.180725089648,164924.6457301134,2.1465473508281985,8330.801
w200_data_s2,data,2,200,4,True,val,0,4551,167.063263801424,2219.3971965064065,0.07434534122874314,55.0
w200_data_s2,data,2,200,4,True,val,1,4551,459.4169151296228,7644.19892666811,0.22474397899645454,373.71799999999996
w200_data_s2,data,2,200,4,True,val,2,4551,792.7242766304374,17821.350821100055,0.3497947328656298,821.8929999999991
w200_data_s2,data,2,200,4,True,val,3,4551,1250.5865624204944,28897.641033163156,0.5790898793728294,2099.987
w200_data_s2,data,2,200,4,True,val,4,2932,2833.038927102917,55975.200383778974,0.9982377067901393,6281.1775
w200_data_s2,data,2,200,4,True,val,5,1524,5251.683460088998,102758.64005307345,1.6324016733411106,7759.312
w200_data_s2,data,2,200,4,True,val,6,856,5707.5969150060855,112934.6889130427,1.7378597159344207,8181.928
w200_data_s2,data,2,200,4,True,test,0,4563,165.11672550228695,2481.636881011008,0.07416129494157084,69.21399999999994
w200_data_s2,data,2,200,4,True,test,1,4563,467.5812697527135,7368.704890118884,0.21673015645551352,335.087
w200_data_s2,data,2,200,4,True,test,2,4563,780.7989301828826,17716.285379984332,0.3429018539760926,752.393
w200_data_s2,data,2,200,4,True,test,3,4563,1278.584155387307,28779.917412917002,0.5497211325381745,1994.9869999999999
w200_data_s2,data,2,200,4,True,test,4,2914,2972.0312530732044,61822.793014588424,0.9244604198164448,6269.4015
