arch,mode,q,stratum,forward_um,backward_um,backward_over_forward
2x256,data,12,0.5-2 mm,5.634564814727128e-05,5.7215096660456766e-05,1.0154306240459423
2x256,data,12,5-20 mm,0.006296502643721169,0.006200767074915348,0.9847954373685067
2x256,data,12,50-200 mm,1.385176783870179,1.3204912969904115,0.9533016380053407
2x256,data,12,500-2000 mm,231.75471357065192,269.73046469257866,1.1638618284686995
2x256,data,12,full crossing,1457.3609996467098,1976.9679559937003,1.3565396332637916
2x256,data,14,0.05-0.2 mm,6.003233465889934e-07,6.126867901912192e-07,1.0205946406590285
2x256,data,14,0.5-2 mm,5.771946121058136e-05,6.514850348082746e-05,1.1287094874836459
2x256,data,14,5-20 mm,0.007080601648112861,0.006685466736655599,0.9441947265085059
2x256,data,14,50-200 mm,1.7125061604126302,1.45147117851252,0.8475713618237651
2x256,data,14,500-2000 mm,309.0369270894584,309.96770492117423,1.0030118660591212
2x256,data,14,full crossing,1638.7699673018687,1931.3812819862192,1.1785554534942548
2x256,data,16,0.05-0.2 mm,5.542233338928781e-07,5.212541509536095e-07,0.9405128205128205
2x256,data,16,0.5-2 mm,5.00738330799777e-05,5.703340377749555e-05,1.138986178397848
2x256,data,16,5-20 mm,0.006878090786699431,0.0064511379580523,0.9379256770683
2x256,data,16,50-200 mm,1.4462316467991343,1.2884246235671526,0.8908839924909351
2x256,data,16,500-2000 mm,303.29783070871486,272.3063474004235,0.8978183152979574
2x256,data,16,full crossing,1601.6690642611593,2007.2193067893807,1.2532047671878457
2x256,data,18,0.05-0.2 mm,6.319424983303179e-07,5.760512067354284e-07,0.9115563651082776
2x256,data,18,0.5-2 mm,6.24349212330344e-05,6.844048527909763e-05,1.0961891827115124
2x256,data,18,5-20 mm,0.007075958592395182,0.007036095269086218,0.9943663713137317
2x256,data,18,50-200 mm,1.3803074513916158,1.4158868972167227,1.0257764643588905
2x256,data,18,500-2000 mm,292.8538619314054,246.7759020947824,0.8426588622300096
2x256,data,18,full crossing,1883.2382430359899,1939.1699205968534,1.0296997354252404
2x256,data,20,0.05-0.2 mm,6.508287242468214e-07,5.762785804108717e-07,0.8854535132538539
2x256,data,20,0.5-2 mm,6.045527189968425e-05,6.714471112445608e-05,1.1106510485284373
