arm,tag,mode,seed,width,depth,converged,split,leg,band,endpoint_med_um,endpoint_p95_um,stage_med_um,slope_med_mrad,rho_mean,rho_median,straight_med_um,n,ceiling_leg_um,ceiling_band_um,ceiling_band_n,ceiling_own_um,ceiling_own_p95_um
wave1,w50_physics_s6,physics,6,50,4,True,val,A,1-5GeV,1188.7609142217461,97547.23226069676,2506.532475357309,0.9129618279497039,0.2205595250545116,0.029251086939656192,25.804742523524773,350,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
wave1,w50_physics_s6,physics,6,50,4,True,val,A,5-20GeV,290.41795345205986,19990.966885677703,879.6173092103043,0.45813997483173596,0.05385878484470976,0.0074072328745719935,11.007220319043443,184,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
wave1,w50_physics_s6,physics,6,50,4,True,val,A,20-200GeV,328.42460296109607,15290.151837923895,725.3161413280939,0.4126785529278581,0.08200334597654803,0.02285003805787044,15.481654977695825,98,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
wave1,w50_physics_s6,physics,6,50,4,True,val,A,all,704.800711407303,48878.38763766394,1508.2450903811632,0.6303738127751901,0.15054142102247997,0.018040544593726414,15.482794052115722,632,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
wave1,w50_physics_s6,physics,6,50,4,True,val,B,1-5GeV,16955.05351005238,143681.86159434036,21796.584331300663,5.675876832868687,0.0007051614314951801,0.0001279366091256405,1181464.7237645744,219,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
wave1,w50_physics_s6,physics,6,50,4,True,val,B,5-20GeV,4877.142547181989,57801.49928150801,7030.6910562038065,2.047878925445702,0.0014642654606977943,0.00011510711325816474,360379.6349347898,268,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
wave1,w50_physics_s6,physics,6,50,4,True,val,B,20-200GeV,5350.6148529094735,26572.857847824424,7078.244626409262,1.6177632642534046,0.015245291149229867,0.0006628762027992885,104397.23230693299,94,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
wave1,w50_physics_s6,physics,6,50,4,True,val,B,all,7341.23555742616,95911.09744559525,9634.560245929719,2.818886738999382,0.003407763967284098,0.00015578834761841132,468725.43876780034,581,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
wave1,w50_physics_s6,physics,6,50,4,True,val,C,1-5GeV,825.9986935241983,6172.193104977396,1552.8039010679322,0.5600077314646124,0.004030958201415958,3.798299738264554e-05,24.01565099967229,1541,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
wave1,w50_physics_s6,physics,6,50,4,True,val,C,5-20GeV,311.9206642579684,2503.673846218362,668.2696014708256,0.14365022724352125,0.0005796049634496709,2.589119235495795e-05,3.982292308535307,901,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
wave1,w50_physics_s6,physics,6,50,4,True,val,C,20-200GeV,227.3108495952535,625.3831009860696,536.9358353986797,0.09987851096606923,0.0007849549386875737,7.040130700076999e-05,0.6156453043622001,314,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
wave1,w50_physics_s6,physics,6,50,4,True,val,C,all,492.78239378215073,4667.5667287972265,993.0236743434655,0.25531788715128445,0.002532803523656765,3.478330864945017e-05,6.048405576626337,2756,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
wave1,w50_physics_s6,physics,6,50,4,True,test,A,1-5GeV,1220.9702382924702,84797.19104822607,2680.4351696686535,0.9234325057774495,0.22545206355534314,0.022186490530174224,31.11023947234115,324,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
wave1,w50_physics_s6,physics,6,50,4,True,test,A,5-20GeV,357.0097788990818,24624.496230689147,842.0503756367539,0.45692691475335623,0.07217776048496835,0.01224392921701263,9.80516663159503,191,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
wave1,w50_physics_s6,physics,6,50,4,True,test,A,20-200GeV,305.82625169326604,6957.673333611762,687.0341380107059,0.316685540038047,0.07771388339435358,0.0260544611257528,5.945399012586616,89,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
