arm,tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
residual,residual_w50_physics_s6,physics,6,50,4,A,3,0.4082826787521751,False,0.7900729827454711,6450.032823762668,604
residual,residual_w50_physics_s6,physics,6,50,4,A,4,0.5917173212478248,False,0.8580156236074419,12438.690488952865,604
residual,residual_w50_physics_s6,physics,6,50,4,A,5,0.7627662049581645,False,2.020230032238307,19148.807165702667,604
residual,residual_w50_physics_s6,physics,6,50,4,A,6,0.8983332387068134,False,3.157596428194742,22707.52491653491,604
residual,residual_w50_physics_s6,physics,6,50,4,A,7,0.9801449282487681,False,3.8134994389606436,25307.22281620859,604
residual,residual_w50_physics_s6,physics,6,50,4,A,8,1.0,True,3.983414090264703,28027.585749174686,604
residual,residual_w50_physics_s6,physics,6,50,4,B,0,0.019855071751231912,False,46.239551521097155,382.5795282644521,564
residual,residual_w50_physics_s6,physics,6,50,4,B,1,0.10166676129318664,False,114.88529459470254,763.3136790093649,564
residual,residual_w50_physics_s6,physics,6,50,4,B,2,0.2372337950418355,False,270.38213553157675,2132.552396866443,564
residual,residual_w50_physics_s6,physics,6,50,4,B,3,0.4082826787521751,False,473.0461064249596,3783.174628700895,564
residual,residual_w50_physics_s6,physics,6,50,4,B,4,0.5917173212478248,False,672.9277252234027,6464.435329816772,564
residual,residual_w50_physics_s6,physics,6,50,4,B,5,0.7627662049581645,False,833.3476686775043,10921.486917465354,564
residual,residual_w50_physics_s6,physics,6,50,4,B,6,0.8983332387068134,False,944.6457024677493,18766.673733185995,564
residual,residual_w50_physics_s6,physics,6,50,4,B,7,0.9801449282487681,False,951.7378860210073,27278.77349298338,564
residual,residual_w50_physics_s6,physics,6,50,4,B,8,1.0,True,944.6780339517602,28347.45864405055,564
residual,residual_w50_physics_s6,physics,6,50,4,C,0,0.019855071751231912,False,0.008045144010537797,3.3849022922368044,2793
residual,residual_w50_physics_s6,physics,6,50,4,C,1,0.10166676129318664,False,0.06757543068580674,20.958587114851923,2793
residual,residual_w50_physics_s6,physics,6,50,4,C,2,0.2372337950418355,False,0.25642703849371173,78.61992121972898,2793
residual,residual_w50_physics_s6,physics,6,50,4,C,3,0.4082826787521751,False,0.4615970611894227,155.94437274441918,2793
residual,residual_w50_physics_s6,physics,6,50,4,C,4,0.5917173212478248,False,0.46912313829272634,172.19107764460662,2793
residual,residual_w50_physics_s6,physics,6,50,4,C,5,0.7627662049581645,False,0.6147995479750534,170.3963247977299,2793
residual,residual_w50_physics_s6,physics,6,50,4,C,6,0.8983332387068134,False,0.8297826994194679,206.91854394193305,2793
residual,residual_w50_physics_s6,physics,6,50,4,C,7,0.9801449282487681,False,0.9651858761312582,230.12593212961866,2793
residual,residual_w50_physics_s6,physics,6,50,4,C,8,1.0,True,1.0139362582322065,220.3580640015736,2793
residual,residual_w50_physics_s7,physics,7,50,4,A,0,0.019855071751231912,False,0.0440096366380871,284.8246838009801,604
residual,residual_w50_physics_s7,physics,7,50,4,A,1,0.10166676129318664,False,0.04894300167646026,608.6064105852132,604
residual,residual_w50_physics_s7,physics,7,50,4,A,2,0.2372337950418355,False,0.21483905549524174,2604.113576212518,604
residual,residual_w50_physics_s7,physics,7,50,4,A,3,0.4082826787521751,False,0.8616536865857505,5914.109713311796,604
residual,residual_w50_physics_s7,physics,7,50,4,A,4,0.5917173212478248,False,1.5784625940177266,11489.830393534035,604
residual,residual_w50_physics_s7,physics,7,50,4,A,5,0.7627662049581645,False,2.857805115374812,12608.471422749373,604
residual,residual_w50_physics_s7,physics,7,50,4,A,6,0.8983332387068134,False,4.233546303258063,14548.866385704094,604
residual,residual_w50_physics_s7,physics,7,50,4,A,7,0.9801449282487681,False,4.900175926777994,17120.182866162762,604
residual,residual_w50_physics_s7,physics,7,50,4,A,8,1.0,True,5.134230712716459,17731.59443812328,604
residual,residual_w50_physics_s7,physics,7,50,4,B,0,0.019855071751231912,False,69.47829683547013,540.4401192566701,564
residual,residual_w50_physics_s7,physics,7,50,4,B,1,0.10166676129318664,False,139.08284326308262,748.4774347702349,564
residual,residual_w50_physics_s7,physics,7,50,4,B,2,0.2372337950418355,False,315.55463734177636,2142.9319189308626,564
residual,residual_w50_physics_s7,physics,7,50,4,B,3,0.4082826787521751,False,546.6224080622446,5137.9768290334505,564
residual,residual_w50_physics_s7,physics,7,50,4,B,4,0.5917173212478248,False,713.655589793305,8407.847168946224,564
residual,residual_w50_physics_s7,physics,7,50,4,B,5,0.7627662049581645,False,888.2163411594206,12330.378642537606,564
residual,residual_w50_physics_s7,physics,7,50,4,B,6,0.8983332387068134,False,1052.924760948173,18694.320347933237,564
residual,residual_w50_physics_s7,physics,7,50,4,B,7,0.9801449282487681,False,1153.6526291146174,25565.820843084966,564
residual,residual_w50_physics_s7,physics,7,50,4,B,8,1.0,True,1235.038096340535,27107.302902671887,564
residual,residual_w50_physics_s7,physics,7,50,4,C,0,0.019855071751231912,False,0.011429792266426375,2.750134114691608,2793
residual,residual_w50_physics_s7,physics,7,50,4,C,1,0.10166676129318664,False,0.05928962696089002,19.532648716403877,2793
residual,residual_w50_physics_s7,physics,7,50,4,C,2,0.2372337950418355,False,0.2519305693340357,87.96255903012455,2793
residual,residual_w50_physics_s7,physics,7,50,4,C,3,0.4082826787521751,False,0.4101259441995353,173.438851655709,2793
residual,residual_w50_physics_s7,physics,7,50,4,C,4,0.5917173212478248,False,0.5034365442213584,209.53625750437374,2793
residual,residual_w50_physics_s7,physics,7,50,4,C,5,0.7627662049581645,False,0.7457631838860834,239.40164696961122,2793
residual,residual_w50_physics_s7,physics,7,50,4,C,6,0.8983332387068134,False,0.9764410913817301,236.65871355620712,2793
residual,residual_w50_physics_s7,physics,7,50,4,C,7,0.9801449282487681,False,1.1152984328077764,230.50451856957213,2793
residual,residual_w50_physics_s7,physics,7,50,4,C,8,1.0,True,1.1674432544594993,236.52621916980948,2793
