N,q,component,unit,p_lo,p_hi,n,med,p95,signed_mean
64,16,tx,mrad,10.0,15.0,208,0.027104186785191497,0.09443570170195216,0.00016170373893920946
64,16,tx,mrad,15.0,20.0,109,0.04281985610848915,0.14892904883193048,-0.006446657235670662
64,16,tx,mrad,20.0,30.0,115,0.04786120837391161,0.18066289055118712,0.00909470941505719
64,16,tx,mrad,30.0,50.0,55,0.053415868691147894,0.20711789208902798,-0.010212545488601846
64,16,tx,mrad,50.0,100.0,24,0.05980224751661774,0.18336360649822778,-0.026638058658635385
64,16,tx,mrad,100.0,200.0,6,0.20317555806890997,1.1500244202415446,0.40804844221797476
64,16,ty,mrad,1.0,2.0,5,0.1918008196968345,0.8152493984637561,0.20161371781065532
64,16,ty,mrad,2.0,3.0,159,0.0786905236969896,0.4025308645361443,0.05304387862907083
64,16,ty,mrad,3.0,5.0,341,0.048853217174738006,0.30961991464534266,0.042550298442331005
64,16,ty,mrad,5.0,7.0,233,0.03415445070008294,0.34368489980519107,0.030373549747513974
64,16,ty,mrad,7.0,10.0,197,0.024527869398083355,0.12067536427789452,-0.0025511380033706008
64,16,ty,mrad,10.0,15.0,208,0.02189232772068818,0.06438730514918224,-0.014584045646560781
64,16,ty,mrad,15.0,20.0,109,0.0216654717204931,0.05525963317337815,0.0038062544732137714
64,16,ty,mrad,20.0,30.0,115,0.0169637887514687,0.05009016462772103,0.0065866534675459495
64,16,ty,mrad,30.0,50.0,55,0.014607853402922796,0.029224767370211343,0.012096602240943815
64,16,ty,mrad,50.0,100.0,24,0.00638217742236942,0.01702641629200479,0.0037634636601404903
64,16,ty,mrad,100.0,200.0,6,0.003448359441831847,0.013527138872076322,-7.621672333564301e-05
128,2,x,µm,1.0,2.0,5,1013.9456990451663,2026.1572750824823,-555.4015110801629
128,2,x,µm,2.0,3.0,159,369.3940543565759,1921.2230241689535,196.78692294890396
128,2,x,µm,3.0,5.0,341,175.02180834321734,1254.4822546119576,-87.5921204347084
128,2,x,µm,5.0,7.0,233,118.71236434922139,765.7252228182398,42.05849927780645
128,2,x,µm,7.0,10.0,197,137.21271769645682,647.4364461440697,-80.33640528449351
128,2,x,µm,10.0,15.0,208,119.13189627352949,510.87052286414684,84.56931191152835
128,2,x,µm,15.0,20.0,109,77.74086988897011,742.3376961537882,99.49816100706757
128,2,x,µm,20.0,30.0,115,150.61692007978422,418.81787765262266,-0.41874806695317895
128,2,x,µm,30.0,50.0,55,170.43958478103605,650.6668135480561,-34.98529337062466
128,2,x,µm,50.0,100.0,24,331.8069527297922,796.5489942073331,22.457715556271
128,2,x,µm,100.0,200.0,6,305.06216586019264,407.3779822356087,297.14550441245996
128,2,y,µm,1.0,2.0,5,804.7130007249734,1565.723135327562,291.0824053110815
128,2,y,µm,2.0,3.0,159,283.40590171455915,862.6078205664497,98.25387598200362
128,2,y,µm,3.0,5.0,341,169.9790840299329,791.9158342140236,-47.60058005768901
128,2,y,µm,5.0,7.0,233,91.43549532304007,516.5982311539652,21.534610737024575
128,2,y,µm,7.0,10.0,197,61.49119038633444,320.854659385213,-6.986409966284584
